ASN,UnSpoofable IP,NAT-Blocking IP,Spoof IP
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=50017"" target=""_blank"" style=""color:159124;"">50017</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12222 "" target=""_blank"" style=""color:159124;"">12222 (AKAMAI)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12337 "" target=""_blank"" style=""color:159124;"">12337 (NORIS-NETWORK)</a>",2,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12502 "" target=""_blank"" style=""color:f7602a;"">12502 (NEPUSTILNET-AS01)</a>",0,0,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=1273 "" target=""_blank"" style=""color:159124;"">1273 (CW)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12816 "" target=""_blank"" style=""color:159124;"">12816 (MWN-AS)</a>",2,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12989 "" target=""_blank"" style=""color:159124;"">12989 (HWNG)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13045 "" target=""_blank"" style=""color:159124;"">13045 (HTP-AS)</a>",25,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13101 "" target=""_blank"" style=""color:159124;"">13101 (TNG-AS)</a>",24,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13301 "" target=""_blank"" style=""color:159124;"">13301 (UNITEDCOLO-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=14061 "" target=""_blank"" style=""color:159124;"">14061 (DIGITALOCEAN-ASN)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=15844 "" target=""_blank"" style=""color:159124;"">15844 (TGC-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=15943 "" target=""_blank"" style=""color:159124;"">15943 (WTNET-AS)</a>",24,46,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16202 "" target=""_blank"" style=""color:159124;"">16202 (PRIMACOM-AS)</a>",3,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16205 "" target=""_blank"" style=""color:159124;"">16205 (DSINET-ASN)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16509 "" target=""_blank"" style=""color:159124;"">16509 (AMAZON-02)</a>",2,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=200615 "" target=""_blank"" style=""color:159124;"">200615 (myVirtualserver-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=201011 "" target=""_blank"" style=""color:159124;"">201011 (NETZBETRIEB-GMBH)</a>",2,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=201229 "" target=""_blank"" style=""color:159124;"">201229 (DIGITALOCEAN-GERMANY)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=201701 "" target=""_blank"" style=""color:159124;"">201701 (FFRL-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=202018 "" target=""_blank"" style=""color:159124;"">202018 (DIGITALOCEAN-ASN-3)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=20473 "" target=""_blank"" style=""color:159124;"">20473 (AS-CHOOPA)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=20676 "" target=""_blank"" style=""color:159124;"">20676 (QSC-1)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=21413 "" target=""_blank"" style=""color:159124;"">21413 (ENVIA-TEL-AS)</a>",17,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=24921 "" target=""_blank"" style=""color:159124;"">24921 (LMT-3G)</a>",1,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=24940 "" target=""_blank"" style=""color:159124;"">24940 (HETZNER-AS)</a>",10,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=24961 "" target=""_blank"" style=""color:f7602a;"">24961 (MYLOC-AS)</a>",8,1,3
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=25291 "" target=""_blank"" style=""color:159124;"">25291 (SysEleven)</a>",2,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=25415 "" target=""_blank"" style=""color:159124;"">25415 (ADDIX-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=25605 "" target=""_blank"" style=""color:f7602a;"">25605 (SCANSAFE)</a>",0,0,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=2792 "" target=""_blank"" style=""color:159124;"">2792 (TERASTREAM-AS)</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=28753 "" target=""_blank"" style=""color:159124;"">28753 (LEASEWEB-DE)</a>",21,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=29413 "" target=""_blank"" style=""color:159124;"">29413 (KOMRO-AS)</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=29562 "" target=""_blank"" style=""color:159124;"">29562 (KabelBW-ASN)</a>",21,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=30823 "" target=""_blank"" style=""color:f7602a;"">30823 (COMBAHTON)</a>",0,0,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=31334 "" target=""_blank"" style=""color:159124;"">31334 (KABELDEUTSCHLAND-AS)</a>",53,11,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=3209 "" target=""_blank"" style=""color:159124;"">3209 (VODANET)</a>",240,14,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=32780 "" target=""_blank"" style=""color:159124;"">32780 (HOSTINGSERVICES-INC)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=3301 "" target=""_blank"" style=""color:159124;"">3301 (TELIANET-SWEDEN)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=3320 "" target=""_blank"" style=""color:f7602a;"">3320 (DTAG)</a>",593,152,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=34549 "" target=""_blank"" style=""color:f7602a;"">34549 (MEER-AS)</a>",0,0,3
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=35244 "" target=""_blank"" style=""color:159124;"">35244 (KMS-DE_AS)</a>",7,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=36351 "" target=""_blank"" style=""color:159124;"">36351 (SOFTLAYER)</a>",4,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=39138 "" target=""_blank"" style=""color:f7602a;"">39138 (OPENAP-WIRELESS-NETWORKS-AS)</a>",0,0,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=39702 "" target=""_blank"" style=""color:159124;"">39702 (SIT-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=39835 "" target=""_blank"" style=""color:159124;"">39835 (GoeTel)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=42366 "" target=""_blank"" style=""color:159124;"">42366 (TERRATRANSIT-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=42652 "" target=""_blank"" style=""color:f7602a;"">42652 (DELUNET)</a>",2,11,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=44194 "" target=""_blank"" style=""color:159124;"">44194 (FREIFUNK-BERLIN-AS)</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=49009 "" target=""_blank"" style=""color:f7602a;"">49009 (FFHH)</a>",0,0,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=50324 "" target=""_blank"" style=""color:159124;"">50324 (ORCO-GSG)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=50629 "" target=""_blank"" style=""color:159124;"">50629 (LWLCOM)</a>",1,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=51167 "" target=""_blank"" style=""color:159124;"">51167 (CONTABO)</a>",6,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=5501 "" target=""_blank"" style=""color:159124;"">5501 (Fraunhofer-Cluster-BW)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=553 "" target=""_blank"" style=""color:159124;"">553 (BELWUE)</a>",14,0,0
